ID;Prevoznik;Serija;Država;Proizvajalec;Posebnosti;Slike;Cena;Prodano
1;FS;E656;it;Lima;;20230415_093257,20230415_093331;60;
2;SŽ;813/814;si;Rivarossi,Roèno;;20230415_093616,20230415_093642;70;
3;SŽ;311/315;si;Roèno;;20230415_093836,20230415_094021,20230415_094041;200;
4;SŽ;715;si;Roco,Roèno;;20230415_094153,20230415_094207;200;
5;DB;55;de;Piko;Digital,Sound;20230415_094436,20230415_094448;140;
6;FS;214;it;Roco;;20230415_095827,20230415_095836;60;
7;DB;182;de;Piko;Poškodovana pantografa;20230415_100132,20230415_100146;40;
8;DR;120;dd;Roco;Roèno barvana, improvizirana kupla;20230415_100233,20230415_100252;20;
9;FS;835;it;Rivarossi;;20230415_100654,20230415_100706;70;
10;DB;1;de;Roco;;20230415_122106,20230415_122118;60;
11;FS;D445;it;Lima;;20230415_122306,20230415_122317;40;
12;SŽ;342;si;Lima,Roèno;;20230415_122917,20230415_122929;60;
13;DB;333;de;Roco;;20230415_123342,20230415_123358;50;
14;JŽ;35;yu;Roco,Roèno;AKA DB 57;20230415_124842,20230415_124856;70;
15;SJ;1091;se;Fleischmann;;20230415_130236,20230415_130247;40;
16;ÖBB;X953;at;Liliput;;20230415_130724,20230415_130738,20230415_130748;40;
17;DB;52;de;Gutzold;;20230415_133043,20230415_133057;150;
18;DB;95;de;Piko;;;50;x
19;JŽ;812;yu;Roco+Roèno;AKA DB 795/ÖBB 5081, poškodovana okna;20230415_134624,20230415_134638,20230415_134659;40;
20;DB;189;de;Roco;;20230415_141358,20230415_141409;100;
21;ÖBB;3071;at;Kleinmodellbahn;Odlomljena stopnièka;20230415_144004,20230415_144014;150;
22;DR;89;dd;Piko;;20230415_144413,20230415_144421;40;
23;DB;261;de;Fleischmann;;20230415_144723,20230415_144733;50;
24;ÖBB;93;at;Kleinbahn;Gre slabo;20230415_144813,20230415_144818;40;
25;DR;52;dd;Gutzold;;20230415_150251,20230415_150309;150;
26;ÖBB;44;at;Roco;;20230415_152313,20230415_152332;60;
27;SNCF;150;fr;Roco;;20230415_152751,20230415_152800;40;
28;ÖBB;1020;at;Roco;;20230415_153231,20230415_153247;70;
29;DB;216;de;Roco;;20230415_153722,20230415_153731;20;
30;FS;E424;it;Kleinbahn;;20230415_153744,20230415_153753;70;
31;SŽ;363;si;Lima,Roèno;;20230423_085345,20230423_085356;100;
32;JŽ;362;yu;Roco,Roèno;Gre slabo, poškodovane ograje;20230423_085545,20230423_085601;50;
33;FS;E626;it;Roco;;20230423_090147,20230423_090204;100;
34;SŽ;642;si;Roco,Roèno;;20230423_090312,20230423_090324;50;
35;DB;103;de;Roco;Poškodovana okna;20230423_094612,20230423_094628;50;
36;ÖBB;1110;at;Roco;;20230423_094728,20230423_094738;70;
37;ÖBB;2045;at;Roco;;20230423_094905,20230423_094917;50;
38;ÖBB;1042;at;Kleinbahn;Razbita;20230423_095044,20230423_095055,20230423_095106;40;
39;DR;93;dd;?;;20230423_103339,20230423_103352;30;
40;ÖBB;2067;at;?;;20230423_103858,20230423_103909;60;
41;DB;236;de;Lima;AKA DR V36, WR 360;20230423_104014,20230423_104026,20230423_104105;60;
42;ÖBB;5046;at;?;;20230423_104251,20230423_104342;40;
43;ÖBB;56;at;Kleinmodellbahn;;20230423_112101,20230423_112115,;220;
44;ÖBB;2062;at;Kleinbahn;Razpada;20230423_112258,20230423_112308;10;
45;ÖBB;1245;at;Kleinbahn;Zelena;20230423_112412,20230423_112421;50;
46;ÖBB;1245;at;Kleinbahn;Oranžna;20230423_112439,20230423_112450;40;
47;DR;120;dd;?;;20230502_095713,20230502_095726;20;
48;kkStB;99;at;Kleinbahn;Gre slabo;20230502_095743,20230502_095752;30;
49;FS;880;it;Roco;;20230502_095817,20230502_095826;70;
50;DB;64;de;Fleischmann;;20230502_095841,20230502_095854;50;
51;FS;835;it;?;Zelo hitra;20230502_095915,20230502_095925;60;
52;DR;132;dd;Roco;;20230502_104031,20230502_104045;40;
53;SŽ;664;si;Lima,Roèno;Gre slabo;20230502_104231,20230502_104243,20230502_104316;100;
54;DB;E32;de;Roco;;20230502_104401,20230502_104412;50;
55;DR;24;dd;?;;20230502_104544,20230502_104607;30;
56;ÖBB;1670;at;Roco;;20230502_111611,20230502_111629;70;
57;SŽ;644;si;Roèno;;20230502_111728,20230502_111741;100;
58;ÖBB;2043;at;Lima;;20230502_111907,20230502_111920;70;
59;MBTA;Boeing SLRV;us;Mehano;Boston tram;20230502_112003,20230502_112016;40;
60;/;Düvag GT8N;de;Roco;Gotha tram, ne gre;20230502_112031,20230502_112047;70;
61;DB;290;de;Roco;;20230502_120409,20230502_120420;50;
62;ÖBB;2084;at;Roco;;20230502_120523,20230502_120533;30;
63;ÖBB;4010;at;Lima;;20230502_120606,20230502_120629;80;
64;DR;93;dd;?;;20230502_120717,20230502_120727;40;
65;DR;86;dd;?;;20230502_122656,20230502_122705;50;
66;ÖBB;77;at;Kleinmodellbahn;;20230502_122801,20230502_122812;200;
67;ÖBB;92;at;Kleinbahn;;20230502_122847,20230502_122858;40;
68;FS;940;it;?;;20230502_122921,20230502_122935;30;
69;ÖBB;X534;at;Kleinbahn;Ne gre;20230502_125218,20230502_125231,20230502_125239;40;
70;ÖBB;2060;at;Kleinbahn;Gre slabo;20230502_125334,20230502_125343;20;
71;DB;E69;de;Lima;;20230502_125423,20230502_125430;30;
72;SNCB;202;be;Fleischmann;;20230502_125524,20230502_125535;40;
73;/;Ljubljana tram;yu;Roèno;;20230502_131350,20230502_131404;100;
74;/;Ljubljana tram;yu;Roèno;;20230502_131630,20230502_131635;100;
75;/;Zagreb tram;yu;Roèno;;20230502_131732,20230502_131744;100;
76;SNCF;67007;fr;Jouef;;20230507_091139,20230507_091151;20;
77;JŽ;661;yu;Mehano,Roèno;;20230507_091313,20230507_091324;20;
78;SNCF;539;fr;Mehano;;20230507_091417,20230507_091426;20;
79;SŽ;?;si;Mehano,Roèno;;20230507_091528,20230507_091538;10;
80;SPL;522;us;Mehano;;20230507_101721,20230507_101736;10;
81;SPL;2002K;us;Mehano;;20230507_101759,20230507_101805;10;
82;ÖBB;729;at;Kleinbahn;;20230507_101815,20230507_101823;40;
83;SŽ;661;si;Mehano,Roèno;;20230507_101835,20230507_101844;30;
84;JŽ;17;yu;Roèno;;20230507_105345,20230507_105354,20230507_105403;40;
85;JŽ;25;yu;Kleinbahn,Roèno;;20230507_105431,20230507_105444;50;
86;DB;80;de;Roco;;20230507_105644,20230507_105655;50;
87;DB;55;de;?;;20230507_105802,20230507_105812;40;
88;Santa Fe;F9;us;Mehano;;20230507_110051,20230507_110243;10;
